case_id,collision_severity,latitude,longitude,population,lighting,collision_time,intersection,location_type,road_surface,road_condition_1,weather_1,at_fault,financial_responsibility,party_age,party_sex,party_drug_physical,cellphone_in_use,vehicle_make,vehicle_year,party_sex_value,collision_severity_value,population_value,lighting_value,road_surface_value,weather_1_value,vehicle_make_norm,location_type_value,road_condition_1_value,financial_responsibility_value,party_drug_physical_value,alcohol_involved_value,ClusterNumber
4959572,property damage only,33.876,-118.12828,50000 to 100000,daylight,13:50:00,0,highway,dry,normal,clear,1,proof of insurance obtained,68,male,not applicable,0,ford,1998,1,1,6,5,1,1,ford,1,1,1,1,0,1
4959846,property damage only,34.15207,-118.1168,100000 to 250000,daylight,16:15:00,0,highway,dry,normal,clear,1,proof of insurance obtained,48,male,not applicable,0,toyota,2003,1,1,7,5,1,1,toyota,1,1,1,1,0,1
4960288,property damage only,34.00986,-117.8229,50000 to 100000,dusk or dawn,05:55:00,0,highway,dry,normal,clear,1,proof of insurance obtained,57,male,not applicable,0,toyota,2002,1,1,6,3,1,1,toyota,1,1,1,1,0,1
4960296,pain,33.87444,-118.1024,50000 to 100000,daylight,11:00:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,51,male,not applicable,0,international harvester,2009,1,2,6,5,1,1,international harvester,2,1,1,1,0,1
4960513,property damage only,34.26479,-118.44243,>250000,daylight,07:30:00,0,highway,dry,normal,clear,1,proof of insurance obtained,28,male,not applicable,0,bmw,2008,1,1,8,5,1,1,bmw,1,1,1,1,0,1
4960728,property damage only,34.17134,-118.06316,100000 to 250000,daylight,17:50:00,0,highway,dry,normal,clear,1,proof of insurance obtained,18,male,not applicable,0,volkswagen,2003,1,1,7,5,1,1,volkswagen,1,1,1,1,0,1
4961260,property damage only,33.89052,-117.88075,100000 to 250000,daylight,13:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,39,male,not applicable,0,chevrolet,2004,1,1,7,5,1,1,chevrolet,1,1,1,1,0,1
4961283,other injury,33.85415,-117.79113,>250000,daylight,14:16:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,36,female,not applicable,0,toyota,1999,2,3,8,5,1,2,toyota,1,1,1,1,0,1
4961325,other injury,33.85098,-117.83814,>250000,daylight,11:50:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,18,male,not applicable,0,toyota,2008,1,3,8,5,2,2,toyota,1,1,1,1,0,1
4961345,pain,33.68686,-117.89821,100000 to 250000,dark with street lights,20:32:00,0,highway,dry,normal,clear,1,proof of insurance obtained,23,male,not applicable,0,chevrolet,2006,1,2,7,4,1,1,chevrolet,1,1,1,1,0,1
4961455,property damage only,33.75876,-117.83014,50000 to 100000,daylight,07:51:00,0,ramp,wet,normal,clear,1,proof of insurance obtained,56,male,not applicable,0,toyota,2006,1,1,6,5,2,1,toyota,2,1,1,1,0,1
